country,age,role_title,are_you_a_ds,gender,annual_salary
Rest of the world,25-29,Software Engineer,Yes,Male,"10-20,000"
Rest of the world,30-34,Other title,Maybe,Male,"30-40,000"
Rest of the world,30-34,Software Engineer,No,Female,"30-40,000"
Rest of the world,30-34,Software Engineer,Maybe,Male,"70-80,000"
India,22-24,Data Analyst,No,Male,"0-10,000"
India,30-34,Student,Maybe,Male,Undisclosed
Rest of the world,25-29,Data Scientist,Yes,Male,"40-50,000"
India,25-29,Data Engineer,No,Male,"50-60,000"
India,22-24,Data Scientist,Yes,Female,"10-20,000"
India,22-24,Software Engineer,Yes,Female,"0-10,000"
India,25-29,Data Analyst,Yes,Male,Undisclosed
India,30-34,Software Engineer,Maybe,Male,"0-10,000"
Rest of the world,40+,Software Engineer,Maybe,Male,"50-60,000"
India,22-24,Software Engineer,Yes,Male,"0-10,000"
China,30-34,Student,Maybe,Male,"0-10,000"
Rest of the world,40+,Data Scientist,Yes,Male,"60-70,000"
India,22-24,Student,Yes,Male,"0-10,000"
India,22-24,Student,Yes,Male,"0-10,000"
India,22-24,Business Analyst,No,Male,"0-10,000"
China,25-29,Student,Maybe,Female,"0-10,000"
India,35-39,Research Scientist,Yes,Male,Undisclosed
India,35-39,Software Engineer,Maybe,Male,Undisclosed
India,25-29,Other title,Maybe,Male,Undisclosed
India,35-39,Research Scientist,Yes,Male,Undisclosed
Rest of the world,22-24,Student,Yes,Female,"0-10,000"
India,30-34,Business Analyst,No,Male,"0-10,000"
India,35-39,Software Engineer,Maybe,Male,Undisclosed
India,25-29,Student,Yes,Male,"0-10,000"
Rest of the world,22-24,Student,Yes,Female,"0-10,000"
Rest of the world,22-24,Data Scientist,Yes,Male,"40-50,000"
India,18-21,Student,No,Female,"0-10,000"
India,25-29,Software Engineer,Yes,Male,"20-30,000"
Rest of the world,25-29,Software Engineer,Maybe,Male,"90-100,000"
Rest of the world,25-29,Data Analyst,Yes,Male,"0-10,000"
Russia,35-39,Research Scientist,Yes,Female,"0-10,000"
Rest of the world,22-24,Data Analyst,Yes,Male,"40-50,000"
USA,30-34,Software Engineer,Yes,Male,"100-125,000"
India,18-21,Other title,Maybe,Male,"0-10,000"
Rest of the world,30-34,Student,Maybe,Male,"20-30,000"
Rest of the world,25-29,Data Engineer,Maybe,Male,Undisclosed
India,25-29,Data Engineer,Yes,Female,"0-10,000"
USA,18-21,Student,Yes,Male,Undisclosed
China,30-34,Other title,Maybe,Male,Undisclosed
India,18-21,Student,Maybe,Male,"0-10,000"
Rest of the world,30-34,Research Scientist,No,Male,"10-20,000"
India,30-34,Data Scientist,Yes,Male,"60-70,000"
India,22-24,Data Engineer,Yes,Male,Undisclosed
India,25-29,Software Engineer,No,Male,"10-20,000"
Russia,18-21,Other title,Yes,Male,"20-30,000"
USA,30-34,Other title,No,Female,Undisclosed
India,40+,Other title,Yes,Male,"40-50,000"
Rest of the world,22-24,Student,No,Male,"0-10,000"
Rest of the world,18-21,Data Scientist,Yes,Female,Undisclosed
Rest of the world,40+,Software Engineer,No,Male,"30-40,000"
Rest of the world,25-29,Other title,Yes,Male,Undisclosed
Rest of the world,18-21,Student,Yes,Female,Undisclosed
China,25-29,Data Scientist,Yes,Female,Undisclosed
India,25-29,Software Engineer,Maybe,Male,Undisclosed
Rest of the world,25-29,Data Scientist,Yes,Female,"60-70,000"
Rest of the world,35-39,Software Engineer,Yes,Female,"0-10,000"
Rest of the world,35-39,Other title,Yes,Male,"10-20,000"
India,25-29,Data Scientist,Yes,Male,Undisclosed
India,40+,Consultant,Yes,Male,"30-40,000"
Rest of the world,35-39,Student,Yes,Male,"10-20,000"
India,22-24,Data Analyst,Yes,Male,"10-20,000"
India,18-21,Student,Maybe,Male,Undisclosed
India,30-34,Research Scientist,Yes,Male,"0-10,000"
Russia,30-34,Software Engineer,Maybe,Male,Undisclosed
India,25-29,Other title,Maybe,Male,"0-10,000"
Rest of the world,40+,Other title,No,Male,"30-40,000"
India,25-29,Other title,No,Male,"0-10,000"
Rest of the world,40+,Data Scientist,Yes,Male,"90-100,000"
Rest of the world,30-34,Data Scientist,Yes,Male,"80-90,000"
India,22-24,Other title,Yes,Male,"400-500,000"
Russia,22-24,Student,Maybe,Male,"0-10,000"
India,22-24,Data Scientist,Yes,Male,"0-10,000"
India,22-24,Data Scientist,No,Prefer not to say,Undisclosed
India,25-29,Software Engineer,Maybe,Male,"0-10,000"
Rest of the world,25-29,Consultant,Yes,Male,"20-30,000"
India,22-24,Software Engineer,No,Male,"0-10,000"
India,35-39,Data Analyst,Yes,Male,"20-30,000"
India,35-39,Other title,Maybe,Female,Undisclosed
Rest of the world,22-24,Student,Yes,Male,"0-10,000"
India,25-29,Student,Yes,Male,"0-10,000"
Rest of the world,22-24,Software Engineer,Yes,Male,Undisclosed
Rest of the world,35-39,Data Scientist,Yes,Male,"90-100,000"
Rest of the world,35-39,Data Scientist,Yes,Male,"90-100,000"
Rest of the world,22-24,Student,Yes,Male,"0-10,000"
India,35-39,Consultant,Yes,Male,Undisclosed
Rest of the world,35-39,Data Scientist,Yes,Male,Undisclosed
India,25-29,Software Engineer,No,Female,"125-150,000"
China,22-24,Data Analyst,Maybe,Male,"20-30,000"
Rest of the world,22-24,Other title,Yes,Female,"0-10,000"
India,35-39,Software Engineer,Yes,Male,"20-30,000"
India,22-24,Software Engineer,Yes,Male,"0-10,000"
Rest of the world,35-39,Other title,Yes,Male,"90-100,000"
Rest of the world,25-29,Student,Maybe,Female,"0-10,000"
India,35-39,Software Engineer,No,Male,Undisclosed
India,25-29,Data Analyst,Maybe,Male,"0-10,000"
India,35-39,Other title,Yes,Female,"125-150,000"
Russia,25-29,Data Scientist,Maybe,Male,Undisclosed
India,40+,Data Analyst,Maybe,Male,"0-10,000"
Rest of the world,18-21,Student,Maybe,Male,Undisclosed
Rest of the world,30-34,Data Scientist,Yes,Male,"90-100,000"
India,22-24,Data Scientist,Yes,Male,"0-10,000"
Rest of the world,40+,Other title,Yes,Male,"200-250,000"
India,18-21,Student,Yes,Male,Undisclosed
Rest of the world,22-24,Data Scientist,Yes,Male,Undisclosed
Rest of the world,35-39,Other title,Maybe,Male,Undisclosed
Rest of the world,40+,Research Scientist,Yes,Male,"40-50,000"
Rest of the world,40+,Data Scientist,Yes,Male,"40-50,000"
India,30-34,Business Analyst,Yes,Male,"20-30,000"
India,35-39,Other title,No,Male,"0-10,000"
China,22-24,Student,Yes,Male,"0-10,000"
Rest of the world,25-29,Student,Yes,Male,Undisclosed
India,25-29,Data Engineer,Yes,Male,"10-20,000"
Rest of the world,25-29,Data Analyst,Yes,Male,"10-20,000"
India,18-21,Student,Yes,Female,Undisclosed
India,25-29,Data Analyst,Yes,Male,Undisclosed
India,25-29,Software Engineer,Yes,Male,"0-10,000"
Rest of the world,30-34,Research Scientist,Yes,Male,"10-20,000"
Rest of the world,40+,Other title,No,Male,"30-40,000"
Rest of the world,25-29,Software Engineer,Maybe,Male,"90-100,000"
Rest of the world,30-34,Software Engineer,Yes,Male,"10-20,000"
India,22-24,Other title,Yes,Male,"0-10,000"
India,25-29,Data Scientist,Yes,Male,"10-20,000"
China,18-21,Student,Maybe,Male,Undisclosed
Rest of the world,25-29,Other title,Maybe,Male,"20-30,000"
China,25-29,Data Scientist,Yes,Male,"0-10,000"
Rest of the world,25-29,Software Engineer,Maybe,Male,"40-50,000"
Rest of the world,25-29,Data Scientist,Yes,Female,"70-80,000"
India,40+,Other title,Yes,Male,Undisclosed
India,25-29,Software Engineer,No,Female,Undisclosed
India,22-24,Business Analyst,Yes,Male,"0-10,000"
Rest of the world,35-39,Data Scientist,Yes,Male,"50-60,000"
India,22-24,Software Engineer,Maybe,Male,"0-10,000"
India,18-21,Student,No,Male,"0-10,000"
India,22-24,Data Analyst,No,Male,Undisclosed
India,25-29,Other title,Maybe,Male,"0-10,000"
India,18-21,Student,No,Female,Undisclosed
Rest of the world,25-29,Data Scientist,Yes,Male,"40-50,000"
India,30-34,Consultant,Yes,Female,"10-20,000"
Rest of the world,25-29,Software Engineer,Yes,Male,"30-40,000"
India,25-29,Data Analyst,Yes,Male,"0-10,000"
Rest of the world,40+,Other title,No,Male,"400-500,000"
India,22-24,Software Engineer,Yes,Male,"0-10,000"
India,18-21,Student,Yes,Male,Undisclosed
India,25-29,Software Engineer,Maybe,Male,Undisclosed
India,30-34,Business Analyst,Yes,Male,"0-10,000"
Rest of the world,40+,Data Analyst,Yes,Male,"40-50,000"
Rest of the world,22-24,Student,Maybe,Male,"0-10,000"
Rest of the world,25-29,Student,No,Male,"10-20,000"
India,40+,Business Analyst,No,Male,"20-30,000"
Rest of the world,40+,Research Scientist,Yes,Male,"10-20,000"
Rest of the world,30-34,Software Engineer,Maybe,Male,"60-70,000"
India,30-34,Data Scientist,Yes,Male,"30-40,000"
India,18-21,Student,Yes,Male,"0-10,000"
Rest of the world,40+,Consultant,Yes,Male,"125-150,000"
India,22-24,Student,Maybe,Female,"0-10,000"
Rest of the world,25-29,Other title,Yes,Female,"20-30,000"
Rest of the world,40+,Other title,Yes,Male,Undisclosed
Rest of the world,30-34,Research Scientist,Yes,Male,"250-300,000"
India,18-21,Student,Yes,Male,"0-10,000"
Rest of the world,30-34,Research Scientist,Yes,Male,"30-40,000"
Brazil,40+,Other title,No,Male,"0-10,000"
Rest of the world,25-29,Business Analyst,No,Male,"10-20,000"
India,35-39,Software Engineer,No,Male,"20-30,000"
Rest of the world,22-24,Student,Yes,Female,Undisclosed
India,25-29,Other title,Yes,Male,"60-70,000"
Rest of the world,30-34,Data Scientist,Yes,Male,"30-40,000"
India,30-34,Data Scientist,Yes,Male,"0-10,000"
Rest of the world,40+,Other title,Yes,Male,"30-40,000"
India,18-21,Student,Yes,Male,"0-10,000"
Russia,25-29,Other title,No,Male,"20-30,000"
Rest of the world,30-34,Data Scientist,Yes,Male,"90-100,000"
Rest of the world,30-34,Data Scientist,Yes,Female,"70-80,000"
Rest of the world,30-34,Data Scientist,Maybe,Female,"40-50,000"
Rest of the world,25-29,Data Scientist,Maybe,Male,"10-20,000"
India,18-21,Student,No,Male,"0-10,000"
Rest of the world,18-21,Student,Yes,Male,"0-10,000"
India,30-34,Other title,Yes,Male,"40-50,000"
India,22-24,Data Engineer,No,Male,"10-20,000"
Rest of the world,25-29,Data Scientist,Yes,Male,Undisclosed
Rest of the world,22-24,Other title,Yes,Male,Undisclosed
Rest of the world,18-21,Student,Maybe,Male,"0-10,000"
Russia,25-29,Data Scientist,Yes,Male,"0-10,000"
Rest of the world,22-24,Student,Yes,Female,"10-20,000"
India,25-29,Software Engineer,Yes,Female,Undisclosed
India,30-34,Research Scientist,Yes,Female,"50-60,000"
Rest of the world,22-24,Data Analyst,Yes,Male,Undisclosed
Rest of the world,30-34,Other title,Yes,Male,"40-50,000"
Rest of the world,25-29,Other title,Maybe,Male,"40-50,000"
India,30-34,Data Engineer,Yes,Male,Undisclosed
Rest of the world,40+,Other title,Yes,Male,"50-60,000"
Rest of the world,40+,Data Analyst,No,Male,"60-70,000"
Rest of the world,30-34,Other title,No,Male,"10-20,000"
India,40+,Other title,Yes,Female,Undisclosed
India,22-24,Data Scientist,Yes,Male,Undisclosed
Rest of the world,22-24,Student,Yes,Male,"150-200,000"
India,22-24,Data Scientist,Yes,Male,Undisclosed
India,18-21,Student,Maybe,Male,Undisclosed
India,30-34,Data Scientist,No,Male,"20-30,000"
Rest of the world,40+,Data Analyst,Yes,Male,"50-60,000"
India,18-21,Student,Yes,Male,"0-10,000"
India,22-24,Software Engineer,No,Male,"0-10,000"
Rest of the world,40+,Other title,Yes,Female,"30-40,000"
Rest of the world,40+,Software Engineer,Yes,Male,"50-60,000"
Rest of the world,40+,Data Scientist,Maybe,Male,"40-50,000"
Rest of the world,40+,Data Analyst,Yes,Male,"80-90,000"
Rest of the world,35-39,Research Scientist,Yes,Male,"100-125,000"
Rest of the world,40+,Other title,Maybe,Male,"60-70,000"
Russia,25-29,Other title,Yes,Female,"10-20,000"
India,30-34,Software Engineer,Yes,Male,"0-10,000"
Rest of the world,22-24,Student,No,Male,"10-20,000"
India,18-21,Student,Yes,Male,"0-10,000"
Rest of the world,25-29,Other title,Yes,Male,"10-20,000"
India,18-21,Student,Yes,Male,"0-10,000"
Rest of the world,22-24,Data Scientist,Maybe,Male,"30-40,000"
Rest of the world,18-21,Software Engineer,Maybe,Male,"10-20,000"
Rest of the world,40+,Software Engineer,No,Male,"50-60,000"
Rest of the world,30-34,Research Scientist,Yes,Female,"40-50,000"
Rest of the world,25-29,Data Analyst,No,Male,"10-20,000"
Rest of the world,40+,Data Scientist,Yes,Male,"40-50,000"
Rest of the world,40+,Data Engineer,Maybe,Prefer not to say,Undisclosed
Rest of the world,35-39,Student,No,Male,Undisclosed
Rest of the world,22-24,Research Scientist,Maybe,Male,"0-10,000"
India,30-34,Data Analyst,Maybe,Male,"10-20,000"
India,30-34,Student,Maybe,Male,"0-10,000"
Brazil,25-29,Business Analyst,No,Male,"10-20,000"
Rest of the world,25-29,Business Analyst,Yes,Male,"60-70,000"
China,30-34,Data Analyst,Maybe,Male,"90-100,000"
India,40+,Other title,Yes,Male,"10-20,000"
Rest of the world,22-24,Business Analyst,Maybe,Male,Undisclosed
Rest of the world,40+,Software Engineer,No,Male,"90-100,000"
Rest of the world,25-29,Other title,Maybe,Male,Undisclosed
India,25-29,Software Engineer,No,Male,"20-30,000"
Rest of the world,40+,Consultant,Maybe,Male,"100-125,000"
India,22-24,Software Engineer,Yes,Male,"10-20,000"
Rest of the world,25-29,Data Scientist,Yes,Male,"50-60,000"
Rest of the world,25-29,Data Scientist,Yes,Male,Undisclosed
China,40+,Research Scientist,Yes,Male,"90-100,000"
India,25-29,Consultant,No,Male,"10-20,000"
Rest of the world,30-34,Data Scientist,Yes,Male,"50-60,000"
India,18-21,Student,No,Male,"0-10,000"
India,18-21,Student,No,Male,"0-10,000"
India,35-39,Data Analyst,Yes,Male,"100-125,000"
USA,40+,Other title,Maybe,Male,"200-250,000"
Rest of the world,22-24,Other title,Maybe,Male,"0-10,000"
Rest of the world,25-29,Data Scientist,Yes,Male,"70-80,000"
India,18-21,Student,Maybe,Male,Undisclosed
Rest of the world,22-24,Software Engineer,No,Male,"20-30,000"
Rest of the world,40+,Other title,No,Male,"50-60,000"
Rest of the world,18-21,Student,Maybe,Male,"0-10,000"
Rest of the world,25-29,Data Scientist,Yes,Female,"40-50,000"
Rest of the world,35-39,Other title,Yes,Male,"0-10,000"
Rest of the world,35-39,Consultant,No,Male,"60-70,000"
Rest of the world,35-39,Consultant,Maybe,Male,Undisclosed
India,30-34,Data Scientist,Yes,Male,"10-20,000"
Russia,30-34,Software Engineer,Yes,Male,"30-40,000"
China,18-21,Student,Yes,Male,"0-10,000"
Rest of the world,35-39,Data Scientist,Maybe,Male,"50-60,000"
Rest of the world,30-34,Software Engineer,Maybe,Male,"30-40,000"
China,25-29,Student,No,Male,Undisclosed
Rest of the world,40+,Software Engineer,No,Male,"125-150,000"
India,40+,Consultant,Maybe,Male,"10-20,000"
India,22-24,Software Engineer,Maybe,Male,Undisclosed
India,22-24,Software Engineer,Maybe,Female,Undisclosed
China,25-29,Data Analyst,No,Female,Undisclosed
Rest of the world,40+,Research Scientist,Yes,Male,"10-20,000"
India,22-24,Software Engineer,No,Male,"0-10,000"
India,25-29,Data Scientist,Yes,Female,"10-20,000"
USA,35-39,Data Scientist,Yes,Male,"60-70,000"
China,18-21,Data Analyst,Maybe,Male,"70-80,000"
Brazil,40+,Software Engineer,Yes,Male,"10-20,000"
Rest of the world,25-29,Data Scientist,Yes,Male,"20-30,000"
China,22-24,Student,Yes,Male,"0-10,000"
Rest of the world,25-29,Research Scientist,Maybe,Male,"60-70,000"
Rest of the world,35-39,Other title,No,Male,Undisclosed
India,18-21,Student,Maybe,Male,"0-10,000"
China,25-29,Software Engineer,Maybe,Female,"20-30,000"
China,25-29,Student,Maybe,Male,Undisclosed
Rest of the world,25-29,Other title,Yes,Male,"0-10,000"
Rest of the world,40+,Other title,Yes,Female,"50-60,000"
Rest of the world,40+,Other title,No,Male,"50-60,000"
India,40+,Other title,No,Male,Undisclosed
India,18-21,Student,Yes,Male,"0-10,000"
Rest of the world,40+,Research Scientist,Yes,Male,"10-20,000"
Rest of the world,25-29,Data Scientist,Yes,Male,"0-10,000"
Rest of the world,25-29,Other title,Maybe,Male,"10-20,000"
Rest of the world,22-24,Data Scientist,Yes,Male,"20-30,000"
India,25-29,Data Analyst,Yes,Male,Undisclosed
India,22-24,Software Engineer,Yes,Male,"400-500,000"
Rest of the world,22-24,Student,Maybe,Male,"0-10,000"
Rest of the world,30-34,Other title,No,Female,Undisclosed
Rest of the world,18-21,Student,Yes,Male,"0-10,000"
Rest of the world,25-29,Other title,No,Male,"0-10,000"
Rest of the world,30-34,Research Scientist,No,Male,"10-20,000"
India,22-24,Data Analyst,Maybe,Male,Undisclosed
India,22-24,Student,Yes,Male,Undisclosed
Rest of the world,25-29,Other title,Maybe,Male,"10-20,000"
Rest of the world,22-24,Other title,No,Male,"0-10,000"
Rest of the world,22-24,Data Scientist,Yes,Male,"0-10,000"
Rest of the world,25-29,Data Scientist,Yes,Male,"40-50,000"
China,25-29,Software Engineer,No,Prefer not to say,"10-20,000"
India,25-29,Data Scientist,Yes,Male,"90-100,000"
Russia,40+,Other title,Maybe,Male,"80-90,000"
Rest of the world,25-29,Data Scientist,Yes,Male,"70-80,000"
India,30-34,Other title,Yes,Male,"20-30,000"
Rest of the world,30-34,Research Scientist,No,Female,"40-50,000"
Rest of the world,30-34,Software Engineer,Maybe,Male,Undisclosed
Rest of the world,25-29,Data Scientist,Maybe,Male,Undisclosed
India,22-24,Data Scientist,Yes,Male,"10-20,000"
India,18-21,Student,Maybe,Male,"0-10,000"
Rest of the world,22-24,Data Analyst,No,Female,"40-50,000"
Rest of the world,30-34,Software Engineer,Maybe,Male,Undisclosed
Rest of the world,40+,Research Scientist,Yes,Male,"10-20,000"
Rest of the world,35-39,Data Scientist,Yes,Male,"90-100,000"
Rest of the world,30-34,Research Scientist,Yes,Male,Undisclosed
India,18-21,Student,No,Female,"0-10,000"
Russia,22-24,Other title,Maybe,Male,"20-30,000"
Russia,40+,Software Engineer,Yes,Male,"20-30,000"
Rest of the world,40+,Data Analyst,No,Male,"10-20,000"
India,25-29,Data Scientist,Yes,Male,"0-10,000"
India,25-29,Research Scientist,Yes,Male,"0-10,000"
India,22-24,Data Engineer,Maybe,Male,"10-20,000"
India,35-39,Software Engineer,No,Male,"20-30,000"
Rest of the world,30-34,Other title,No,Female,"20-30,000"
Rest of the world,22-24,Data Scientist,Yes,Female,"10-20,000"
China,35-39,Research Scientist,Yes,Prefer not to say,"10-20,000"
Rest of the world,40+,Research Scientist,Yes,Male,"10-20,000"
Rest of the world,25-29,Student,Maybe,Male,"0-10,000"
Rest of the world,40+,Other title,Yes,Male,"70-80,000"
Rest of the world,35-39,Software Engineer,Maybe,Male,"40-50,000"
Rest of the world,30-34,Consultant,No,Male,Undisclosed
Rest of the world,40+,Other title,Maybe,Female,"0-10,000"
Brazil,40+,Business Analyst,Maybe,Male,"20-30,000"
India,40+,Other title,No,Male,"50-60,000"
India,18-21,Student,Yes,Female,Undisclosed
Rest of the world,25-29,Other title,Yes,Male,"50-60,000"
Rest of the world,25-29,Data Analyst,Maybe,Female,"30-40,000"
Rest of the world,22-24,Other title,No,Male,"20-30,000"
Russia,35-39,Software Engineer,Yes,Male,Undisclosed
India,22-24,Student,Yes,Male,"125-150,000"
India,18-21,Student,Maybe,Male,"0-10,000"
Rest of the world,22-24,Student,No,Male,"0-10,000"
Rest of the world,22-24,Student,No,Male,"0-10,000"
Russia,30-34,Data Scientist,Yes,Female,"70-80,000"
China,22-24,Software Engineer,Maybe,Male,"30-40,000"
India,22-24,Software Engineer,Yes,Male,"10-20,000"
Rest of the world,40+,Student,Yes,Male,Undisclosed
USA,25-29,Data Scientist,Yes,Female,"100-125,000"
Rest of the world,25-29,Consultant,No,Male,Undisclosed
Rest of the world,40+,Data Scientist,Yes,Male,"80-90,000"
Rest of the world,25-29,Software Engineer,Maybe,Male,"50-60,000"
China,18-21,Student,No,Male,"0-10,000"
Rest of the world,30-34,Data Scientist,Maybe,Male,"80-90,000"
Brazil,35-39,Data Engineer,No,Male,"40-50,000"
Brazil,40+,Student,Yes,Male,"0-10,000"
Rest of the world,22-24,Data Scientist,Yes,Male,"30-40,000"
India,18-21,Student,Yes,Male,"0-10,000"
Brazil,35-39,Research Scientist,Yes,Male,"150-200,000"
Rest of the world,35-39,Consultant,Maybe,Male,"30-40,000"
Rest of the world,30-34,Data Scientist,Yes,Male,"90-100,000"
India,30-34,Other title,Yes,Male,"0-10,000"
Rest of the world,18-21,Data Analyst,Yes,Male,"0-10,000"
India,18-21,Student,No,Male,Undisclosed
India,18-21,Data Analyst,Yes,Male,"0-10,000"
Rest of the world,35-39,Business Analyst,Yes,Male,"40-50,000"
Rest of the world,22-24,Data Scientist,Yes,Male,Undisclosed
Rest of the world,35-39,Software Engineer,Yes,Male,"10-20,000"
Russia,30-34,Data Scientist,Yes,Male,"80-90,000"
Rest of the world,40+,Data Engineer,No,Male,"50-60,000"
Rest of the world,35-39,Other title,No,Female,"60-70,000"
China,30-34,Other title,Maybe,Male,"0-10,000"
Rest of the world,30-34,Data Scientist,Yes,Female,"10-20,000"
Rest of the world,30-34,Data Scientist,Yes,Male,"80-90,000"
India,25-29,Data Engineer,Yes,Male,"10-20,000"
India,18-21,Student,Yes,Male,Undisclosed
India,18-21,Student,Maybe,Male,"10-20,000"
India,40+,Other title,Maybe,Male,Undisclosed
Rest of the world,30-34,Data Scientist,Yes,Male,"40-50,000"
India,18-21,Student,No,Male,"0-10,000"
Rest of the world,22-24,Student,Maybe,Male,"20-30,000"
Rest of the world,30-34,Data Analyst,Maybe,Male,"0-10,000"
Rest of the world,40+,Data Scientist,No,Male,"70-80,000"
Rest of the world,35-39,Consultant,Yes,Male,"50-60,000"
Rest of the world,18-21,Software Engineer,No,Male,"0-10,000"
Rest of the world,25-29,Data Scientist,Yes,Male,"0-10,000"
Rest of the world,25-29,Research Scientist,No,Male,"40-50,000"
India,25-29,Data Scientist,Yes,Male,Undisclosed
Rest of the world,25-29,Data Analyst,Yes,Male,"500,000+"
Rest of the world,30-34,Data Scientist,Yes,Male,"20-30,000"
India,40+,Other title,No,Male,"90-100,000"
Rest of the world,22-24,Research Scientist,No,Male,"20-30,000"
Rest of the world,40+,Other title,Yes,Male,"90-100,000"
Rest of the world,40+,Data Scientist,Yes,Male,"80-90,000"
India,40+,Data Analyst,Yes,Female,"10-20,000"
Rest of the world,40+,Other title,No,Male,"30-40,000"
India,18-21,Student,Yes,Male,Undisclosed
India,18-21,Student,No,Male,Undisclosed
India,22-24,Software Engineer,Maybe,Male,"10-20,000"
India,22-24,Student,Yes,Male,Undisclosed
Rest of the world,35-39,Data Scientist,Yes,Male,"10-20,000"
India,18-21,Student,Maybe,Male,Undisclosed
Rest of the world,30-34,Data Scientist,Yes,Female,"50-60,000"
Rest of the world,40+,Software Engineer,Maybe,Male,"125-150,000"
Rest of the world,25-29,Research Scientist,Yes,Male,"50-60,000"
Rest of the world,25-29,Data Scientist,No,Male,"30-40,000"
Rest of the world,40+,Data Scientist,Yes,Male,Undisclosed
Rest of the world,30-34,Other title,Yes,Male,"10-20,000"
India,25-29,Data Scientist,Yes,Male,Undisclosed
Rest of the world,22-24,Student,Yes,Male,"0-10,000"
Rest of the world,18-21,Other title,Yes,Male,"500,000+"
Rest of the world,25-29,Research Scientist,No,Male,"50-60,000"
Rest of the world,40+,Other title,No,Male,"70-80,000"
Rest of the world,35-39,Other title,Maybe,Male,"30-40,000"
Rest of the world,25-29,Research Scientist,Yes,Male,"30-40,000"
Rest of the world,25-29,Data Engineer,Yes,Male,"50-60,000"
Rest of the world,25-29,Data Scientist,Yes,Male,"70-80,000"
Russia,22-24,Software Engineer,No,Female,"0-10,000"
Brazil,25-29,Software Engineer,No,Male,"0-10,000"
Rest of the world,30-34,Research Scientist,Yes,Male,"70-80,000"
India,18-21,Software Engineer,Maybe,Male,Undisclosed
China,18-21,Student,Yes,Female,"0-10,000"
USA,35-39,Software Engineer,Maybe,Male,"250-300,000"
Rest of the world,40+,Data Scientist,Yes,Male,"100-125,000"
Rest of the world,30-34,Other title,Maybe,Female,"0-10,000"
Rest of the world,25-29,Student,Yes,Male,"0-10,000"
Rest of the world,30-34,Other title,No,Male,"60-70,000"
China,25-29,Student,Maybe,Male,"0-10,000"
Rest of the world,25-29,Business Analyst,Maybe,Female,"20-30,000"
Rest of the world,18-21,Student,Maybe,Male,Undisclosed
Russia,25-29,Other title,Yes,Male,"10-20,000"
Rest of the world,30-34,Data Scientist,Yes,Male,"70-80,000"
Rest of the world,40+,Consultant,Yes,Male,"100-125,000"
Rest of the world,25-29,Other title,Maybe,Female,"10-20,000"
Rest of the world,30-34,Other title,Maybe,Male,"10-20,000"
Brazil,40+,Business Analyst,No,Male,"50-60,000"
USA,25-29,Data Analyst,Maybe,Male,"70-80,000"
Rest of the world,25-29,Data Scientist,Yes,Male,"30-40,000"
Rest of the world,25-29,Business Analyst,No,Male,"10-20,000"
Rest of the world,18-21,Student,Yes,Male,Undisclosed
China,22-24,Student,Yes,Female,"0-10,000"
India,35-39,Software Engineer,Yes,Male,"10-20,000"
Rest of the world,40+,Other title,Maybe,Male,"20-30,000"
India,25-29,Other title,No,Male,Undisclosed
India,22-24,Data Scientist,Yes,Male,"0-10,000"
Rest of the world,25-29,Data Engineer,Maybe,Male,Undisclosed
Rest of the world,22-24,Data Analyst,Yes,Male,"10-20,000"
India,35-39,Other title,Yes,Male,"10-20,000"
India,22-24,Software Engineer,Maybe,Male,"0-10,000"
India,35-39,Data Analyst,Yes,Male,"60-70,000"
Rest of the world,22-24,Student,Maybe,Male,"10-20,000"
India,25-29,Data Analyst,Maybe,Male,Undisclosed
Rest of the world,35-39,Business Analyst,Maybe,Male,"90-100,000"
Brazil,30-34,Other title,Yes,Male,"20-30,000"
Rest of the world,22-24,Other title,Maybe,Male,Undisclosed
Rest of the world,25-29,Research Scientist,No,Male,"40-50,000"
Rest of the world,25-29,Data Scientist,Yes,Male,"40-50,000"
Brazil,25-29,Data Scientist,Yes,Male,Undisclosed
USA,30-34,Data Scientist,Yes,Male,"70-80,000"
Rest of the world,30-34,Other title,No,Male,"125-150,000"
Russia,35-39,Other title,Yes,Male,Undisclosed
India,22-24,Software Engineer,No,Male,"0-10,000"
Rest of the world,25-29,Data Scientist,Yes,Female,"30-40,000"
Russia,18-21,Student,Maybe,Male,Undisclosed
Rest of the world,25-29,Student,Yes,Male,"30-40,000"
Rest of the world,35-39,Software Engineer,No,Male,"100-125,000"
Brazil,25-29,Software Engineer,No,Male,"10-20,000"
India,22-24,Data Analyst,Yes,Male,"0-10,000"
Rest of the world,25-29,Student,No,Male,Undisclosed
Rest of the world,35-39,Data Analyst,Yes,Female,Undisclosed
Rest of the world,35-39,Other title,Yes,Male,"0-10,000"
Brazil,35-39,Software Engineer,Yes,Male,Undisclosed
Rest of the world,30-34,Other title,No,Male,"0-10,000"
Brazil,25-29,Data Scientist,Yes,Male,Undisclosed
Rest of the world,30-34,Data Scientist,Yes,Male,"60-70,000"
Brazil,22-24,Software Engineer,No,Male,"0-10,000"
India,25-29,Data Scientist,Yes,Female,"20-30,000"
Rest of the world,40+,Consultant,Yes,Male,Undisclosed
India,22-24,Data Analyst,Yes,Female,"0-10,000"
USA,40+,Other title,Yes,Male,"200-250,000"
Rest of the world,25-29,Data Scientist,Yes,Female,"10-20,000"
India,40+,Other title,Maybe,Male,"20-30,000"
Rest of the world,35-39,Software Engineer,Yes,Male,"10-20,000"
